Date, Time, Server, Download (Mbps), Upload (Mbps), Ping (ms)
2023/12/28, 09:55:42, "Secaucus, NJ", 47.474647652197454, 14.722530437232331, 25.462
2023/12/28, 10:10:02, "Philadelphia, PA", 48.28113580096214, 47.63316160425331, 30.386
2023/12/28, 10:20:01, "New York, NY", 49.329693101349726, 47.11587226574171, 25.445
2023/12/28, 10:40:02, "Philadelphia, PA", 43.31430707975204, 48.10594807942172, 27.275
2023/12/28, 11:10:01, "Secaucus, NJ", 39.60482148530186, 46.39594246351483, 26.823
2023/12/28, 11:20:02, "Philadelphia, PA", 28.86502088577638, 44.523061535198764, 34.31
2023/12/28, 11:40:01, "Secaucus, NJ", 44.19486215649315, 50.024377874972764, 26.541
2023/12/28, 11:50:02, "Secaucus, NJ", 50.032422735919475, 49.07071822720062, 26.651
2023/12/28, 17:05:02, "New York, NY", 22.658312043161594, 16.035409090256902, 85.869
2023/12/28, 17:35:02, "New York, NY", 45.63884901825416, 42.011794685264036, 28.238
2023/12/28, 18:05:02, "New York, NY", 45.66742054774149, 40.15858539715124, 34.881
2023/12/28, 18:35:02, "New Haven, CT", 42.949955157199064, 30.640313106059658, 33.369
2023/12/28, 19:35:02, "New Haven, CT", 49.22640079784943, 10.457241772457737, 27.512
2023/12/28, 20:05:02, "New Haven, CT", 48.57712912191839, 46.37830960692053, 29.545
2023/12/28, 20:35:02, "New York, NY", 49.86311498616356, 46.492687657408105, 27.576
2023/12/28, 21:05:02, "New York, NY", 36.093380788185236, 38.12678472185231, 29.993
